ID	DOCULECT	CONCEPT	CONCEPT_ID	GLOTTOLOG	WORD_IS	SEGMENTS_IS	SEGMENTS	COG	COGID
820	Huangluo Younuo	neck	58	youn1235	kǝ53=kaŋ33	k ǝ 53 = k a ŋ 33	k ǝ ⁵³ + k a ŋ ³³	58-1	167
821	Northern Pa-Hng	neck	58	pahn1237	a33=ŋɔŋ22	a 33 = ŋ ɔ ŋ 22	a ³³ + ŋ ɔ ŋ ²²	58-1	167
822	Southern Pa-Hng	neck	58	pahn1237	a44=ŋɔ̃31	a 44 = ŋ ɔ̃ 31	a ⁴⁴ + ŋ ɔ̃ ³¹	58-1	167
823	Hm-Nai	neck	58	wuna1248	naŋ35=ɴquŋ13	n a ŋ 35 = ɴ q u ŋ 13	n a ŋ ³⁵ + ɴ q u ŋ ¹³	58-1	167
824	Western Xiangxi	new	59	nort2748	ʆɛ̃1	ʆ ɛ̃ 1	ɕ ɛ̃ ¹/	59-1	169
825	Western Xiangxi	night	60	nort2748	m̥aŋ5	m̥ a ŋ 5	m̥ a ŋ ⁵/	60-1	171
826	Eastern Xiangxi	night	60	east2371	xuŋ53=m̥ʰaŋ31	x u ŋ 53 = m̥ʰ a ŋ 31	x u ŋ ⁵³ + m̥ʰ a ŋ ³¹	60-1	171
827	Qiandong	night	60	east2369	m̥ʰaŋ5	m̥ʰ a ŋ 5	m̥ʰ a ŋ ⁵/	60-1	171
828	Hmong Daw	night	60	hmon1333	m̥ɔ4	m̥ ɔ 4	m̥ ɔ ⁴/	60-1	171
829	Hmong Njua	night	60	hmon1264	mao3	m a o 3	m a o ³/	60-1	171
830	Longhua Jiongnai	night	60	jion1236	nčaŋ22	n č a ŋ 22	n tʃ a ŋ ²²	60-2	172
831	Liuxiang Jiongnai	night	60	jion1236	nčã21	n č ã 21	n tʃ ã ²¹	60-2	172
832	Northern Pa-Hng	night	60	pahn1237	qa22=ma22	q a 22 = m a 22	q a ²² + m a ²²	60-3	173
833	Southern Pa-Hng	night	60	pahn1237	qa31=mɦa31	q a 31 = mɦ a 31	q a ³¹ + mʱ a ³¹	60-3	173
834	Hm-Nai	night	60	wuna1248	qa31=ma22	q a 31 = m a 22	q a ³¹ + m a ²²	60-3	173
835	Western Xiangxi	nose	61	nort2748	pa3=mɹɤ6	p a 3 = m ɹ ɤ 6	p a ³/ + m ɹ ɤ ⁶/	61-1	174
836	Eastern Xiangxi	nose	61	east2371	duŋ55=mi̯a11	d u ŋ 55 = m i̯ a 11	d u ŋ ⁵⁵ + m j a ¹¹	61-1	174
837	Qiandong	nose	61	east2369	po3=nɛ6	p o 3 = n ɛ 6	p o ³/ + n ɛ ⁶/	61-1	174
838	Chuanqiandian	nose	61	nort3244	ci5=ɳᶚu6	c i 5 = ɳ ᶚ u 6	ts i ⁵/ + ɳ ɖʐ u ⁶/	61-1	174
839	Diandongbei	nose	61	larg1235	a1=mpü6	a 1 = m p ü 6	a ¹/ + m p y ⁶/	61-1	174
840	Hmong Daw	nose	61	hmon1333	nǯɨ6	n ǯ ɨ 6	n dʒ ɨ ⁶/	61-1	174
841	Western Xiangxi	not	62	nort2748	ɕe2	ɕ e 2	tɕ e ²/	62-1	175
842	Eastern Xiangxi	not	62	east2371	a35	a 35	a ³⁵	62-2	176
843	Qiandong	not	62	east2369	a2	a 2	a ²/	62-2	176
844	Chuanqiandian	not	62	nort3244	c̢i5	c̢ i 5	tʂ i ⁵/	62-1	175
845	Diandongbei	not	62	larg1235	hi5	h i 5	h i ⁵/	62-3	177
846	Hmong Daw	not	62	hmon1333	či5	č i 5	tʃ i ⁵/	62-1	175
847	Hmong Njua	not	62	hmon1264	čɨ3	č ɨ 3	tʃ ɨ ³/	62-1	175
848	Bunu	not	62	buna1273	ma2	m a 2	m a ²/	62-4	178
849	Baonao	not	62	buna1273	maǝ2	m a ǝ 2	m a ǝ ²/	62-4	178
850	Numao	not	62	numa1251	moŋ2	m o ŋ 2	m o ŋ ²/	62-4	178
851	Longhua Jiongnai	not	62	jion1236	ŋ̩53	ŋ̩ 53	ŋ̩ ⁵³	62-4	178
852	Liuxiang Jiongnai	not	62	jion1236	m̩35	m̩ 35	m̥ ³⁵	62-4	178
853	Xiaozhai Younuo	not	62	youn1235	mɔ22	m ɔ 22	m ɔ ²²	62-4	178
854	Huangluo Younuo	not	62	youn1235	mɔ22	m ɔ 22	m ɔ ²²	62-4	178
855	Northern Pa-Hng	not	62	pahn1237	ŋ̩35	ŋ̩ 35	ŋ̩ ³⁵	62-4	178
856	Southern Pa-Hng	not	62	pahn1237	ŋ̩ɦ33	ŋ̩ ɦ 33	ŋ̩ ɦ ³³	62-4	178
857	Hm-Nai	not	62	wuna1248	a53	a 53	a ⁵³	62-2	176
858	Western Xiangxi	one	63	nort2748	a3	a 3	a ³/	63-1	179
859	Eastern Xiangxi	one	63	east2371	a55	a 55	a ⁵⁵	63-1	179
860	Qiandong	one	63	east2369	i1	i 1	i ¹/	63-1	179
861	Chuanqiandian	one	63	nort3244	ʔi1	ʔ i 1	ʔ i ¹/	63-1	179
862	Diandongbei	one	63	larg1235	i1	i 1	i ¹/	63-1	179
863	Hmong Daw	one	63	hmon1333	i1	i 1	i ¹/	63-1	179
864	Hmong Njua	one	63	hmon1264	ʔi1	ʔ i 1	ʔ i ¹/	63-1	179
865	Bunu	one	63	buna1273	i1	i 1	i ¹/	63-1	179
866	Baonao	one	63	buna1273	i1	i 1	i ¹/	63-1	179
867	Numao	one	63	numa1251	ɕü1	ɕ ü 1	tɕ y ¹/	63-2	180
868	Longhua Jiongnai	one	63	jion1236	i53	i 53	i ⁵³	63-1	179
869	Liuxiang Jiongnai	one	63	jion1236	i35	i 35	i ³⁵	63-1	179
870	Xiaozhai Younuo	one	63	youn1235	ʑe22	ʑ e 22	ʑ e ²²	63-3	181
871	Huangluo Younuo	one	63	youn1235	ʑe22	ʑ e 22	ʑ e ²²	63-3	181
872	Northern Pa-Hng	one	63	pahn1237	yi22	y i 22	j i ²²	63-1	179
873	Southern Pa-Hng	one	63	pahn1237	yɦʉ31	yɦ ʉ 31	jʱ ʉ ³¹	63-1	179
874	Hm-Nai	one	63	wuna1248	i13	i 13	i ¹³	63-1	179
875	Western Xiangxi	person	64	nort2748	ne2	n e 2	n e ²/	64-1	182
876	Eastern Xiangxi	person	64	east2371	ne31	n e 31	n e ³¹	64-1	182
877	Qiandong	person	64	east2369	nɛ2	n ɛ 2	n ɛ ²/	64-1	182
878	Chuanqiandian	person	64	nort3244	nen1	n e n 1	n e n ¹/	64-1	182
879	Diandongbei	person	64	larg1235	tɯ1=nɯ1	t ɯ 1 = n ɯ 1	t ɯ ¹/ + n ɯ ¹/	64-1	182
880	Hmong Daw	person	64	hmon1333	nɤ̃6	n ɤ̃ 6	n ɤ̃ ⁶/	64-1	182
881	Hmong Njua	person	64	hmon1264	neŋ5	n e ŋ 5	n e ŋ ⁵/	64-1	182
882	Bunu	person	64	buna1273	no2	n o 2	n o ²/	64-1	182
